"senador","nro_de_orden","inicio_periodo_legal","cese_periodo_legal","inicio_periodo_real","cese_periodo_real","provincia","partido_politico","reemplazo","observaciones"
"MENDAÑA,  PEDRO",3449,"1966-06-01","1975-04-30","1966-06-01","1966-06-28","NEUQUÉN","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A FRANCISCO CAPRARO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"VAI,  BUENAVENTURA JUSTO",3450,"1973-05-03","1977-04-30","1973-05-03","1976-03-24","NEUQUÉN","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"SOLANA, JORGE D.",42,"1989-12-06","1998-12-09","1989-12-06","1998-12-09","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","SAPAG, SILVIA","REELECTO."
"BAUM, DANIEL",208,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","NEUQUÉN","JUSTICIALISTA","GALLIA, SERGIO ADRIÁN","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO  TERCER SENADOR."
"SAPAG, SILVIA",251,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","SALVATORI, PEDRO","REEMPLAZA A JORGE SOLANA POR EXPIRACION DE MANDATO."
"FERNANDEZ BESCHTEDT,  HORACIO",3451,"1958-03-31","1961-04-30","1958-03-31","1959-03-26","NEUQUÉN","SIN ESPECIFICAR","JARITONSKY,  JOSE","FALLECE EL 26 DE MARZO DE 1959. LO REEMPLAZA JOSE JARITONSKY."
"JARITONSKY,  JOSE",3452,"1958-03-31","1961-04-30","1959-08-05","1961-04-30","NEUQUÉN","SIN ESPECIFICAR","TARANTINO,  CARLOS NICOLAS","COMPLETA EL PERIODO DE FERNANDEZ BESCHTEDT QUE FALLECE. LO REEMPLAZA CARLOS TARANTINO."
"TARANTINO,  CARLOS NICOLAS",3453,"1961-06-28","1970-12-10","1961-06-28","1962-09-06","NEUQUÉN","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A JARITONSKY  POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"SAPAG, ELIAS",41,"1963-08-12","1972-04-30","1963-08-12","1966-06-28","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"SAPAG, ELIAS",41,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"SAPAG, ELIAS",41,"1983-11-29","1992-12-09","1983-11-29","1992-12-09","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","SAPAG, ELIAS",NA
"SAPAG, ELIAS",41,"1992-12-02","2001-12-09","1992-12-02","1993-06-21","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","SAPAG, FELIPE RODOLFO","REELECTO. FALLECE EL 21 DE JUNIO DE 1993. LO REEMPLAZA FELIPE SAPAG EN 1993."
"POSE,  JORGE JUAN",3454,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"SAPAG, FELIPE RODOLFO",89,"1992-12-02","2001-12-09","1993-09-01","2001-12-09","NEUQUÉN","MOVIMIENTO POPULAR NEUQUINO","SAPAG, LUZ MARÍA","COMPLETA EL PERIODO DE ELIAS SAPAG."
"MALLEVILLE,  JULIO A.",3455,"1958-03-31","1964-04-30","1958-03-31","1962-09-06","RÍO NEGRO","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"GADANO,  JOSE ENRIQUE",3456,"1963-08-12","1966-04-30","1963-08-12","1966-04-30","RÍO NEGRO","U. C. R. DEL PUEBLO","GADANO,  JOSE ENRIQUE",NA
"GADANO,  JOSE ENRIQUE",3456,"1966-04-26","1975-04-30","1966-04-26","1966-06-28","RÍO NEGRO","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"BELENGUER,  EMILIO",3457,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","RÍO NEGRO","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"MINICHELLI DE COSTANZO,  MARTHA SUSANA",3458,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","RÍO NEGRO","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"MAZZUCCO, FAUSTINO M.",26,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","RÍO NEGRO","UNIÓN CÍVICA RADICAL","MAZZUCCO, FAUSTINO M.",NA
"MAZZUCCO, FAUSTINO M.",26,"1986-11-28","1995-12-09","1986-11-28","1995-12-09","RÍO NEGRO","UNIÓN CÍVICA RADICAL","GAGLIARDI, EDGARDO JOSE","REELECTO. LO REEMPLAZA EDGARDO GAGLIARDI POR EXPIRACION DE MANDATO."
"GAGLIARDI, EDGARDO JOSE",235,"1995-12-09","2001-12-09","1996-04-24","2001-12-09","RÍO NEGRO","UNIÓN CÍVICA RADICAL","FALCO, LUIS","REEMPLAZA A FAUSTINO MAZZUCCO POR EXPIRACION DE MANDATO."
"GUIDO,  JOSE MARIA",3459,"1958-03-31","1967-04-30","1958-03-31","1962-03-30","RÍO NEGRO","U. C. R. INTRANSIGENTE","VACANTE HASTA DISOLUC.P.L.,","ASUME EL PODER EJECUTIVO EL 30 DE MARZO DE 1962.  DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SETIEMBRE DE 1962."
"DE REGE,  ROBERTO",3460,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","RÍO NEGRO","DEMOCRATA CRISTIANO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"NAPOLI, ANTONIO O.",66,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","RÍO NEGRO","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"NAPOLI, ANTONIO O.",66,"1983-11-29","1989-12-09","1983-11-29","1989-12-09","RÍO NEGRO","UNIÓN CÍVICA RADICAL","COSTANZO, REMO","LO REEMPLAZA REMO COSTANZO."
"COSTANZO, REMO",11,"1989-12-20","1998-12-09","1989-12-20","1998-12-09","RÍO NEGRO","JUSTICIALISTA","COSTANZO, REMO","REEMPLAZA A ANTONIO NAPOLI POR EXPIRACION DE MANDATO."
"COSTANZO, REMO",11,"1998-11-25","2001-12-09","1998-11-25","2001-12-09","RÍO NEGRO","JUSTICIALISTA","ISIDORI, AMANDA MERCEDES","REELECTO."
"LEBRERO,  CARLOS ALBERTO",3461,"1958-03-31","1961-04-30","1958-03-31","1961-04-30","SANTA CRUZ","SIN ESPECIFICAR","LEBRERO,  CARLOS ALBERTO",NA
"LEBRERO,  CARLOS ALBERTO",3461,"1961-04-28","1970-04-30","1961-04-28","1962-09-06","SANTA CRUZ","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO 6 DE SEPTIEMBRE DE  1962."
"DARACT,  MAURICIO",3514,"1862-05-27","1865-04-30","1862-05-27","1865-04-30","SAN LUIS","SIN ESPECIFICAR","DARACT,  MAURICIO",NA
"DARACT,  MAURICIO",3514,"1865-04-28","1874-04-30","1865-04-28","1874-04-30","SAN LUIS","SIN ESPECIFICAR","PRUNEDA,  PABLO","REELECTO."
"PRUNEDA,  PABLO",3515,"1874-09-26","1883-04-30","1874-09-26","1879-09-12","SAN LUIS","SIN ESPECIFICAR","CORTES,  RAFAEL","FALLECE EN 1879. LO REEMPLAZA RAFAEL CORTES (1880-1881) Y CARLOS RODRIGUEZ (1881-1883)."
"CORTES,  RAFAEL",3516,"1874-09-26","1883-04-30","1880-06-10","1881-05-14","SAN LUIS","SIN ESPECIFICAR","RODRIGUEZ,  CARLOS JUAN","REEMPLAZA A PABLO PRUNEDA. RENUNCIA EN 1881. LO REEMPLAZA CARLOS RODRIGUEZ (1881-1883)."
"CORTES,  RAFAEL",3516,"1883-04-30","1892-04-30","1883-04-30","1887-09-01","SAN LUIS","SIN ESPECIFICAR","RODRIGUEZ,  CARLOS JUAN","FALLECE EN 1887. LO REEMPLAZA CARLOS RODRIGUEZ (1887-1892)."
"MENDOZA,  ERIBERTO",3517,"1892-05-23","1901-04-30","1892-05-23","1901-04-30","SAN LUIS","SIN ESPECIFICAR","MENDOZA,  ERIBERTO","REEMPLAZA A RAFAEL CORTES POR EXPIRACION DE MANDATO."
"MENDOZA,  ERIBERTO",3517,"1901-05-01","1910-04-30","1901-05-01","1910-04-30","SAN LUIS","SIN ESPECIFICAR","MENDOZA,  ERIBERTO","REELECTO."
"MENDOZA,  ERIBERTO",3517,"1910-04-29","1919-04-30","1910-04-29","1919-04-30","SAN LUIS","SIN ESPECIFICAR","RODRIGUEZ SAA,  ADOLFO","REELECTO."
"MORA OLMEDO,  EPIFANIO",3518,"1919-04-30","1928-04-30","1923-03-17","1928-04-30","SAN LUIS","SIN ESPECIFICAR","MORA OLMEDO,  EPIFANIO","OCUPA EL CARGO EN 1923."
"MORA OLMEDO,  EPIFANIO",3518,"1928-05-21","1937-04-30","1928-05-21","1930-09-06","SAN LUIS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"RODRIGUEZ SAA,  ADOLFO",3519,"1919-04-30","1928-04-30","1923-03-17","1928-04-30","SAN LUIS","DEMOCRATA - MENDOZA","RODRIGUEZ SAA,  ADOLFO","OCUPA EL CARGO EN 1923."
"RODRIGUEZ SAA,  ADOLFO",3519,"1928-05-21","1937-04-30","1928-05-21","1930-09-06","SAN LUIS","DEMOCRATA - MENDOZA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"RODRIGUEZ SAA,  ADOLFO",3519,"1932-01-20","1941-04-30","1932-01-20","1933-06-16","SAN LUIS","DEMOCRATA - MENDOZA","LANDABURU,  LAUREANO","FALLECE EN 1933, LO REEMPLAZA LAUREANO LANDABURU."
"LANDABURU,  LAUREANO",3520,"1932-01-20","1941-01-19","1934-06-09","1941-01-19","SAN LUIS","U. C. R. ANTIPERSONALISTA","LANDABURU,  LAUREANO","COMPLETA EL PERIODO DE ADOLFO RODRIGUEZ SAA."
"LANDABURU,  LAUREANO",3520,"1941-01-22","1950-01-22","1941-01-22","1943-06-05","SAN LUIS","U. C. R. ANTIPERSONALISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"SOSA LOYOLA,  GILBERTO",3521,"1946-05-22","1949-04-30","1946-05-22","1948-10-19","SAN LUIS","SIN ESPECIFICAR","ENDEIZA,  VICTOR W.","FALLECE. LO REEMPLAZA VICTOR ENDEIZA."
"ENDEIZA,  VICTOR W.",3522,"1949-04-26","1952-04-30","1949-04-26","1952-04-30","SAN LUIS","SIN ESPECIFICAR","ZAVALA ORTIZ,  RICARDO","REEMPLAZA A SOSA LOYOLA POR EXPIRACION DE MANDATO."
"ZAVALA ORTIZ,  RICARDO",3523,"1952-06-18","1955-04-30","1952-06-18","1955-04-30","SAN LUIS","SIN ESPECIFICAR","ZAVALA ORTIZ,  RICARDO","REEMPLAZA A VICTOR ENDEIZA POR EXPIRACION DE MANDATO."
"ZAVALA ORTIZ,  RICARDO",3523,"1955-04-26","1961-04-30","1955-04-26","1955-09-21","SAN LUIS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"VILCHEZ,  MARTIN",3524,"1958-03-31","1964-04-30","1958-03-31","1962-09-06","SAN LUIS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"BERNARDO,  MIGUEL ANGEL",3525,"1963-12-11","1966-04-30","1963-12-11","1966-04-30","SAN LUIS","U. C. R. INTRANSIGENTE","TELLO CORNEJO,  EDMUNDO DEL CARMEN",NA
"TELLO CORNEJO,  EDMUNDO DEL CARMEN",3526,"1966-04-26","1975-04-30","1966-04-26","1966-06-28","SAN LUIS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A MIGUEL ANGEL BERNARDO POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"BRITOS, ORALDO NORVEL",8,"1973-05-03","1977-03-30","1973-05-03","1976-03-24","SAN LUIS","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"BRITOS, ORALDO NORVEL",8,"1983-11-29","1986-12-09","1983-11-29","1986-12-09","SAN LUIS","JUSTICIALISTA","BRITOS, ORALDO NORVEL",NA
"BRITOS, ORALDO NORVEL",8,"1986-12-17","1995-12-09","1986-12-17","1995-12-09","SAN LUIS","JUSTICIALISTA","QUINZIO, BERNARDO PASCUAL","REELECTO."
"VIVAS ANGEL,  JUAN GREGORIO",3527,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","SAN LUIS","ALIANZA REPUBLICANA FEDERAL","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"AGUNDEZ, JORGE ALFREDO",205,"1995-11-29","2001-12-09","1995-11-29","2001-12-09","SAN LUIS","UNIÓN CÍVICA RADICAL","AGUNDEZ, JORGE ALFREDO","POR LA REFORMA CONSTITUCIONAL DE 1994 ES ELEGIDO TERCER SENADOR."
"QUINZIO, BERNARDO PASCUAL",224,"1995-11-29","2001-12-09","1995-11-29","1997-12-09","SAN LUIS","JUSTICIALISTA","BARTOLUCCI, MARIO LUIS","REEMPLAZA A ORALDO BRITOS POR EXPIRACION DE MANDATO. RENUNCIO EN 1997. COMPLETA SU MANDATO MARIO BARTOLUCCI."
"BARTOLUCCI, MARIO LUIS",240,"1995-11-29","2001-12-09","1997-12-03","1998-11-06","SAN LUIS","JUSTICIALISTA","SERGNESE, CARLOS JOSE ANTONIO","COMPLETA EL PERIODO DE BERNARDO QUINZIO. FALLECE EL 6 DE NOVIEMBRE DE 1998. COMPLETA SU PERIODO CARLOS SERGNESE."
"SERGNESE, CARLOS JOSE ANTONIO",254,"1995-11-29","2001-12-09","1999-04-14","2001-03-14","SAN LUIS","JUSTICIALISTA","TORINO, HECTOR OMAR","COMPLETA EL PERIODO DE BARTOLUCCI QUE FALLECIO Y DE QUINZIO QUE RENUNCIO."
"PEDERNERA,  JUAN ESTEBAN",3528,"1854-10-17","1860-04-30","1855-05-25","1859-05-19","SAN LUIS","SIN ESPECIFICAR","VACANTE HASTA FIN DEL PERIODO,","RENUNCIA EN 1859 PARA SER GOBERNADOR DE SAN LUIS."
"DARACT,   JUSTO",3529,"1862-05-27","1865-04-30","1862-05-27","1865-04-30","SAN LUIS","SIN ESPECIFICAR","LLERENA,  JUAN",NA
"LUCERO,  CECILIO",3530,"1863-04-30","1866-04-30","1863-04-30","1866-04-30","SAN LUIS","SIN ESPECIFICAR","ES SENADOR SUPLENTE,","SUPLENTE"
"LLERENA,  JUAN",3531,"1865-04-28","1874-04-30","1865-04-28","1874-04-30","SAN LUIS","SIN ESPECIFICAR","LUCERO,  VICTOR C.",NA
"LUCERO,  VICTOR C.",3532,"1874-09-26","1883-04-30","1874-09-26","1883-04-30","SAN LUIS","SIN ESPECIFICAR","MENDOZA , TORIBIO","REEMPLAZA A LLERENA POR EXPIRACIÓN DE MANDATO."
"MENDOZA , TORIBIO",3533,"1883-04-30","1892-04-30","1883-04-30","1891-10-21","SAN LUIS","SIN ESPECIFICAR","MENDOZA , TORIBIO","FALLECE EN 1891."
"BARBEITO,  JUAN A.",3534,"1892-05-23","1901-04-30","1892-05-23","1901-04-30","SAN LUIS","SIN ESPECIFICAR","QUIROGA,  LINDOR L.","REEMPLAZA A TORIBIO MENDOZA POR EXPIRACION DE MANDATO."
"QUIROGA,  LINDOR L.",3535,"1901-05-23","1910-04-30","1901-05-23","1910-04-30","SAN LUIS","SIN ESPECIFICAR","GUIÑAZU,  VICTOR S.","REEMPLAZA A JUAN BARBEITO POR EXPIRACION DE MANDATO."
"GUIÑAZU,  VICTOR S.",3536,"1910-04-29","1919-04-30","1910-04-29","1919-04-30","SAN LUIS","SIN ESPECIFICAR","MORA OLMEDO,  EPIFANIO","REEMPLAZA A LINDOR QUIROGA POR EXPIRACION DE MANDATO."
"ARANCIBIA RODRIGUEZ,  ALBERTO",3537,"1932-01-20","1935-04-30","1932-01-20","1935-04-30","SAN LUIS","DEMOCRATA NACIONAL","ARANCIBIA RODRIGUEZ,  ALBERTO",NA
"ARANCIBIA RODRIGUEZ,  ALBERTO",3537,"1935-05-02","1944-04-30","1935-05-02","1943-06-05","SAN LUIS","DEMOCRATA NACIONAL","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"LUCO,  FRANCISCO R.",3538,"1946-05-22","1952-04-30","1946-05-22","1952-04-30","SAN LUIS","PERONISTA","LUCO,  FRANCISCO R.",NA
"LUCO,  FRANCISCO R.",3538,"1952-04-25","1958-04-30","1952-04-25","1955-06-05","SAN LUIS","PERONISTA","DISOLUCION DEL P. LEGISLATIVO,","REELECTO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1955."
"BERTIN,  ALFREDO FELIPE",3539,"1958-03-31","1964-04-30","1958-03-31","1962-09-06","SAN LUIS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"FLORES,  DOMINGO",3540,"1963-12-11","1969-04-30","1963-12-11","1966-06-28","SAN LUIS","ACCION POPULAR - SAN LUIS","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"FRANCO,  CARLOS",3541,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","SAN LUIS","JUSTICIALISTA","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"MARANGUELLO, PEDRO CARLOS",105,"1989-12-06","1998-12-09","1995-03-01","1998-12-09","SAN LUIS","JUSTICIALISTA","RODRIGUEZ SAA, ALBERTO","COMPLETA EL PERIODO DE ALBERTO RODRIGUEZ SAA."
"RODRIGUEZ SAA, ALBERTO",34,"1989-12-06","1998-12-09","1989-12-06","1994-12-14","SAN LUIS","JUSTICIALISTA","MARANGUELLO, PEDRO CARLOS","REELECTO. RENUNCIA. LO REEMPLAZA PEDRO MARANGUELLO."
"VIDELA DOMINGUEZ,  DANIEL",3542,"1860-05-11","1863-04-30","1860-06-30","1861-12-12","SAN LUIS","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861."
"SANTILLAN,  GREGORIO",3545,"1877-05-03","1886-04-30","1877-05-03","1886-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","RUIZ,  MAXIMO","REEMPLAZA A LUCIANO GOROSTIAGA POR EXPIRACION DE MANDATO."
"RUIZ,  MAXIMO",3546,"1886-05-01","1895-04-30","1886-05-01","1889-06-21","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","ROJAS,  ABSALON","REEMPLAZA A GREGORIO SANTILLAN POR EXPIRACION DE MANDATO. RENUNCIA EN 1889 PARA SER GOBERNADOR DE SANTIAGO DEL ESTERO. LO REEMPLAZA ABSALON ROJAS."
"TABOADA,  ANTONIO MARIA",3562,"1857-05-12","1866-04-30","1857-09-07","1861-12-12","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL CONGRESO DE PARANA EL 12 DE DICIEMBRE DE 1861."
"IRIONDO,  URBANO DE",3563,"1854-10-17","1857-04-30","1854-11-13","1855-07-10","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","ES SENADOR SUPLENTE,","SUPLENTE. RENUNCIA EN EL AÑO 1855."
"GALLO,  PEDRO",3564,"1862-05-24","1865-04-30","1862-05-24","1865-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR",NA,NA
"FRIAS,  LUIS",3565,"1874-05-07","1883-04-30","1874-05-07","1883-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","ROJAS,  ABSALON","REEMPLAZA A JUAN FRANCISCO BORGES POR EXPIRACION DE MANDATO."
"SILVA,  SOFANOR DE LA",3566,"1883-04-30","1892-04-30","1887-05-12","1892-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","ROJAS,  ABSALON","COMPLETA EL PERIODO DE ABSALON ROJAS QUE RENUNCIO."
"ZAVALIA,  BENJAMIN",3567,"1892-04-30","1901-04-30","1894-06-09","1901-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","PALACIO,  DAMASO E.","COMPLETA EL PERIODO DE ABSALON ROJAS."
"PALACIO,  DAMASO E.",3568,"1901-05-01","1910-04-30","1901-07-20","1908-10-28","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","ALVAREZ,  ANTENOR","REEMPLAZA A BENJAMIN ZAVALIA. RENUNCIA EN 1908 PARA SER GOBERNADOR DE LA PROVINCIA DE SANTIAGO DEL ESTERO. LO REEMPLAZA ANTENOR ALVAREZ. (1909/1910)."
"ALVAREZ,  ANTENOR",3569,"1901-07-20","1910-04-30","1909-06-12","1910-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","OLAECHEA Y ALCORTA,  PEDRO","COMPLETA EL PERIODO DE DAMASO PALACIO ( 1901-1910 )."
"OLAECHEA Y ALCORTA,  PEDRO",3570,"1910-04-29","1919-04-30","1910-04-29","1919-04-30","SANTIAGO DEL ESTERO","AUTONOMISTA","LLANOS,  PEDRO","REEMPLAZA A ANTENOR ALVAREZ POR EXPIRACION DE MANDATO."
"LLANOS,  PEDRO",3571,"1919-04-30","1928-04-30","1919-04-30","1928-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","CORVALAN,  SANTIAGO E.",NA
"CORVALAN,  SANTIAGO E.",3572,"1928-06-22","1937-04-30","1928-06-22","1930-09-06","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1930."
"BRUCHMANN,  CARLOS A.",3573,"1932-01-20","1938-04-30","1932-01-20","1938-04-30","SANTIAGO DEL ESTERO","SOCIALISTA","CASTRO,  JUAN B.",NA
"CASTRO,  JUAN B.",3574,"1938-05-02","1947-04-30","1938-05-02","1943-06-05","SANTIAGO DEL ESTERO","UNIÓN CÍVICA RADICAL","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A CARLOS BRUCHMANN POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 5 DE JUNIO DE 1943."
"ZERDA,  JUSTINIANO DE LA",3575,"1946-05-22","1952-04-30","1946-05-22","1952-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","ZERDA,  JUSTINIANO DE LA",NA
"ZERDA,  JUSTINIANO DE LA",3575,"1952-04-30","1955-04-30","1952-04-30","1952-09-14","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","VACANTE HASTA FIN DEL PERIODO,","REELECTO. FALLECIO EN 1952 Y SU BANCA QUEDA VACANTE HASTA FIN DEL MANDATO."
"BLANCO,  RAMON",3576,"1955-04-26","1961-04-30","1955-04-26","1955-04-26","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","RENUNCIO ANTES DE ASUMIR,","RENUNCIO EL 26 DE ABRIL DE 1955. DISOLUCION DEL PODER LEGISLATIVO EL 21 DE SEPTIEMBRE DE 1955."
"GOMEZ,  CARLOS BERNABE",3577,"1958-03-31","1961-04-30","1958-03-31","1961-04-30","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","MIGUEL,  PEDRO HONORIO",NA
"MIGUEL,  PEDRO HONORIO",3578,"1961-04-28","1970-04-30","1961-04-28","1962-09-06","SANTIAGO DEL ESTERO","SIN ESPECIFICAR","DISOLUCION DEL P. LEGISLATIVO,","REEMPLAZA A CARLOS GOMEZ POR EXPIRACION DE MANDATO. DISOLUCION DEL PODER LEGISLATIVO EL 6 DE SEPTIEMBRE DE 1962."
"CASTIGLIONE,  JOSE FRANCISCO LUIS",3579,"1963-08-12","1969-04-30","1963-08-12","1966-06-28","SANTIAGO DEL ESTERO","U. C. R. DEL PUEBLO","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 28 DE JUNIO DE 1966."
"LUNA,  PEDRO ANTONIO",3580,"1973-05-03","1977-03-31","1973-05-03","1976-03-24","SANTIAGO DEL ESTERO","FREJULI","DISOLUCION DEL P. LEGISLATIVO,","DISOLUCION DEL PODER LEGISLATIVO EL 24 DE MARZO DE 1976."
"FIGUEROA, JOSE OSCAR",12,"1989-12-06","1998-12-09","1989-12-06","1998-12-09","SANTIAGO DEL ESTERO","JUSTICIALISTA","JUAREZ, CARLOS ARTURO","REEMPLAZA A LUIS SALIM POR EXPIRACION DE MANDATO."
"MIKKELSEN-LÖTH, JORGE FEDERICO",253,"1998-11-25","2001-12-09","1999-03-03","2001-12-09","SANTIAGO DEL ESTERO","JUSTICIALISTA","CASTRO, MARÍA ELISA","REEMPLAZA A CARLOS JUAREZ QUE NO PRESTO JURAMENTO Y QUE RENUNCIO A LA BANCA EL 3 DE MARZO DE 1999. SUCEDE A  JOSE FIGUEROA POR EXPIRACION DE MANDATO."
"MARTINEZ, DANIEL ESTEBAN",24,"1992-02-26","1995-12-09","1992-02-26","1995-12-09","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","JUSTICIALISTA","MANFREDOTTI, CARLOS","LO REEMPLAZA CARLOS MANFREDOTTI."
"MANFREDOTTI, CARLOS",217,"1995-11-29","2001-12-09","1995-11-29","1999-12-15","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","JUSTICIALISTA","PALACIOS, GERARDO LUIS","REEMPLAZA A DANIEL MARTINEZ POR EXPIRACION DE MANDATO. RENUNCIA EL 15 DE DICIEMBRE DE 1999 PARA SER GOBERNADOR DE LA PROVINCIA DE TIERRA DEL FUEGO."
